ID,Name,Description,Category,Shortname,Variable_type,Category_esp,Description_esp,Comments
1,1P pronoun distinctions,Number of formal distinctions (lexical/morphological) for the first person (gender; number; inclusive/exclusive; etc),Pronominal system,Pron1P,numeric,SISTEMA PRONOMINAL,Número de distinciones formales (léxicas/morfológicas) en la primera persona (género; número; inclusivo-exclusivo; etc.),count the total number of corresponding pronominal forms (do not count the case variations associated with the pronouns) and code a natural number. If there is no form: indicate 0 and leave the certainty column blank – contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
2,2P pronoun distinctions,Number of formal distinctions (lexical/morphological) for the second person (gender; number; inclusive/exclusive; etc),Pronominal system,Pron2P,numeric,SISTEMA PRONOMINAL,Número de distinciones formales (léxicas/morfológicas) en la segunda persona (género; número; politeness; etc.),count the total number of corresponding pronominal forms (do not count the case variations associated with the pronouns) and code a natural number. If there is no form: indicate 0 and leave the certainty column blank – contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
3,3P pronoun distinctions,Number of formal distinctions (lexical/morphological) for the third person (gender; number; inclusive/exclusive; etc),Pronominal system,Pron3P,numeric,SISTEMA PRONOMINAL,Número de distinciones formales (léxicas/morfológicas) en la tercera persona (género; número; obviativo-proximativo; etc.),count the total number of corresponding pronominal forms (do not count the case variations associated with the pronouns) and code a natural number. If there is no form: indicate 0 and leave the certainty column blank – contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
4,Cases,Total number of grammatical cases,Nominal categories,Cases,numeric,CATEGORÍAS NOMINALES,Número total de casos gramaticales,If the language has a case category: report the total number of nominal cases listed in the grammar as a natural number. Includes nuclear and oblique cases; if the absence of case has an interpretation (unmarked case) it is counted. If the language has no nominal case: indicate 0 and leave the certainty column blank – Si la lengua tiene una categoría de caso: consignar el número total de casos nominales listados en la gramatica como un número natural. Comprende casos nucleares y oblicuos; si la ausencia de caso tiene una interpretación (caso no marcado) se cuenta. Si la lengua no tiene caso nominal: indicar 0 y dejar en blanco la columna de certeza
5,Spatial demonstratives,Total number of spatial demonstratives,Nominal categories,Dem,numeric,CATEGORÍAS NOMINALES,Número total de demostrativos espaciales,If the language has spatial demonstratives; deictic: record the total number of spatial demonstratives listed in the grammar as a natural number. If the language does not have spatial demonstratives: indicate 0 and leave the certainty column blank – Si la lengua tiene demostrativos espaciales; deicticos: consignar el número total de demostrativos espaciales listados en la gramatica como un número natural. Si la lengua no tiene demostrativos espaciales: indicar 0 y dejar en blanco la columna de certeza
6,Numeral classifiers,Is there evidence for numeral classifiers?,Nominal categories,ClassNum,binary,CATEGORÍAS NOMINALES,Existe evidencia de clasificadores numerales,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
7,Genitive classifiers,Is there evidence for genitive classifiers?,Nominal categories,ClassGen,binary,CATEGORÍAS NOMINALES,Existe evidencia de clasificadores genitivos,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
8,Grammatical gender,Is there evidence for nominal classes/gender?,Nominal categories,ClassNoun,binary,CATEGORÍAS NOMINALES,Existe evidencia de clases nominales / géneros,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
9,Instrumental vs comitative,The language distinguishes morphologically the instrumental from commitative,Nominal categories,InstrCom,binary,CATEGORÍAS NOMINALES,La lengua distingue morfológicamente instrumental de comitativo,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
10,Alienable and inalienable,The language distinguishes morphologically alienable possession from inalienable possession,Nominal categories,Poss,binary,CATEGORÍAS NOMINALES,La lengua distingue morfológicamente posesion alienable de posesion inalienable,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
11,Locative vs directional,The language distinguishes morphologically locative from directional,Nominal categories,LocDir,binary,CATEGORÍAS NOMINALES,La lengua distingue morfológicamente locativo (en) de direccional (a/hacia),Yes = 1 ; No = 0 – Sí = 1 ; No = 0
12,Temporal locative vs spatial locative,The language distinguishes morphologically spatial locative from temporal locative,Nominal categories,TempLoc,binary,CATEGORÍAS NOMINALES,La lengua distingue morfológicamente locativo espacial de locativo temporal,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
13,Ditransitive argument marking,The language distinguishes morphologically both objects of a ditransitive construction,Nominal categories,DitransMarking,binary,CATEGORÍAS NOMINALES,La lengua distingue morfológicamente los dos objetos de una construccion ditransitiva,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
14,Core arguments via case,The language marks the functions of the nominal phrase (S; A; P) with case,Grammatical relations,CA_case,binary,RELACIONES GRAMATICALES,La lengua marca las funciones gramaticales de las FN (S; A; P) mediante caso,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
15,Core arguments via head marking,The language marks the functions of the nominal phrase (S; A; P) with verbal marking,Grammatical relations,CA_head,binary,RELACIONES GRAMATICALES,La lengua marca las funciones gramaticales de las FN (S; A; P) mediante marcas en el verbo,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
16,Core arguments via word order,The language marks the functions of the nominal phrase (S; A; P) with word order,Grammatical relations,CA_wordorder,binary,RELACIONES GRAMATICALES,La lengua marca las funciones gramaticales de las FN (S; A; P) mediante orden de palabras,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
17,Pronominal alignment,The pronominal system has alignment type..,Grammatical relations,PronAlign,binary,RELACIONES GRAMATICALES,Los pronombres muestran un alineamiento de tipo…,If the language has case: record the case alignment of the pronouns. Hierarchical: object and subject marking based on the person hierarchy 1 > 2 > 3. If the language has no nominal case: indicate 0 and leave the certainty column blank. – Si la lengua tiene caso: consignar el alineamiento de caso de los pronombres. Jerárquico: marcación de objeto y sujeto basados en la jerarquía de persona 1 > 2 > 3. Si la lengua no tiene caso nominal: indicar 0 y dejar en blanco la columna de certeza.
18,Nominal alignment,Nouns have alignment type...,Grammatical relations,NomAlign,multi-state,RELACIONES GRAMATICALES,Los nombres muestran un alineamiento de tipo…,If the language has case: record the case alignment of the nouns. Hierarchical: object and subject marking based on the person hierarchy 1 > 2 > 3. If the language has no nominal case: indicate 0 and leave the certainty column blank. – Si la lengua tiene caso: consignar el alineamiento de caso de los nombres. Jerárquico: marcación de objeto y sujeto basados en la jerarquía de persona 1 > 2 > 3. Si la lengua no tiene caso nominal: indicar 0 y dejar en blanco la columna de certeza.
19,Tense and aspect markers,Number of Tense and Aspect morphemes,Verbal categories,TA_marks,numeric,CATEGORÍAS VERBALES,Número de marcas morfológicas de tiempo y aspecto,Report the total number of tense and aspect markers in the language and report a natural number. If the language does not have these markers: then record 0 and leave the certainty column blank  – Consignar el número total de marcadores de tiempo y aspecto en la lengua y consignar un número natural. Si la lengua no tiene estos marcadores: entonces consignar 0 y dejar en blanco la columna de certeza
20,Evidential markers,Number of morphological evidential markers,Verbal categories,Evid,numeric,CATEGORÍAS VERBALES,Número de marcas morfológicas de evidencialidad,Record the total number of evidentiality markers on the language and record a natural number. If the language does not have these markers: then record 0 and leave the certainty column blank – Consignar el número total de marcadores de evidencialidad en la lengua y consignar un número natural. Si la lengua no tiene estos marcadores: entonces consignar 0 y dejar en blanco la columna de certeza
21,Interrogatives,The interrogative is distinguished from the declarative by,Verbal categories,Questions,multi-state,CATEGORÍAS VERBALES,El interrogativo se distingue del declarativo mediante,Indicate whether there is a formal distinction between indicative/declarative and interrogative sentences based on morphological elements; prosodic or both – Indicar si existe una distinción formal entre oraciones indicativas/declarativas e interrogativas a partir de elementos morfológicos; prosódicos o ambos
22,Causative,Morphological causatives exist,Verbal categories,MorphCaus,binary,CATEGORÍAS VERBALES,Existen causativos morfológicos,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
23,Tones,Number of tones in the language,Phonology,Tones,numeric,FONOLOGÍA,número de tonemas en la lengua (si la lengua tiene un rasgo de tono),Report the total number of tonemes in the language with a natural number. If the language has no tone: record 0 and leave the certainty column blank – Consignar el número total de tonemas en la lengua con un número natural. Si la lengua no tiene tono: consignar 0 y dejar la columna de certeza en blanco
24,Consonants,Number of consonants,Phonology,Consonants,numeric,FONOLOGÍA,número total de consonantes,Report the total number of consonants in the language with a natural number. – Consignar el número total de consonantes en la lengua con un número natural.
25,Vowels,Number of vowels,Phonology,Vowels,numeric,FONOLOGÍA,número total de vocales,Report the total number of vowels in the language with a natural number. – Consignar el número total de vocales en la lengua con un número natural.
26,Nasal vowels,Number of nasal vowels,Phonology,NasVowels,numeric,FONOLOGÍA,número de vocales nasales,Record the total number of nasal vowels in the language with a natural number. If the language does not have nasal vowels: record 0 and leave the certainty column blank – Consignar el número total de vocales nasales en la lengua con un número natural. Si la lengua no tiene vocales nasales: consignar 0 y dejar la columna de certeza en blanco
27,Adj-N order,Relative order of adjective and noun in nominal phrase,Word order,AdjN,multi-state,ORDEN DE PALABRAS,orden relativo entre el adjetivo y el nombre en la frase nominal,Indicate the relative order of the noun and adjective within a nominal phrase; selecting one of the options in the dropdown list – Indicar el orden relativo del nombre y el adjetivo dentro de una frase nominal; seleccionando una de las opciones en la lista despegable
28,Gen-N order,Relative order of genitive modification and noun in nominal phrase,Word order,GenN,multi-state,ORDEN DE PALABRAS,orden relativo entre el modificador genitivo y el nombre en la frase nominal,Indicate the relative order of the noun and the genitive modifier within a nominal phrase; selecting one of the options from the dropdown list – Indicar el orden relativo del nombre y el modificador genitivo dentro de una frase nominal; seleccionando una de las opciones de la lista desplegable
29,Basic word order,Basic word order,Word order,BasicWO,multi-state,ORDEN DE PALABRAS,orden básico de palabras en la lengua,Indicate the type of basic order of constituents in declarative sentences from the list of options offered. no basic order can be registered for cases where flexible or pragmatically oriented order is indicated – Indicar el tipo de orden básico de constituyentes en oraciones declarativas a partir de la lista de opciones ofrecidas. no hay orden básico puede registrarse para los casos en los que se indica orden flexible o prágmáticamente orientado
30,Agreement between verb and arguments,Is there evidence of agreement between the verb and on of its arguments?,Verbal categories,VP_Agr,binary,CATEGORÍAS VERBALES,existe evidencia de concordancia entre el verbo y alguno de sus argumentos,Yes = 1 ; No =  0 – Sí = 1 ; No = 0
31,Agreement between noun and adjectives,Is there evidence of agreement between noun and its modifying adjective?,Nominal categories,NP_Agr,binary,CATEGORÍAS NOMINALES,existe evidencia de concordancia entre el nombre y su adjetivo,Yes = 1 ; No =  0 – Sí = 1 ; No = 0
